Rainfall,Max Temperature,Min Temperature,Maximum Humidity,Min Humidity,Wind Direction,CC,EVP,Wind speed,Solar Radiation,date
0.0,30.2,16.1,73.0,43.0,210.0,1.0,5.1,3.3,18.0534375,3/7
0.0,28.7,17.2,80.0,41.0,210.0,3.0,5.3,2.9,22.0653125,3/8
0.0,19.1,15.5,71.0,35.0,200.0,3.0,5.2,3.8,20.059375000000003,3/9
0.0,30.1,13.3,69.0,36.0,45.0,1.0,3.5,2.9,21.06234375,3/10
0.0,30.1,14.2,82.0,29.0,210.0,2.0,5.0,2.3,21.06234375,3/11
0.0,29.8,15.1,72.0,38.0,130.0,1.5,4.1,2.3,22.0653125,3/12
0.0,30.1,13.2,68.0,41.0,180.0,1.5,4.2,1.8,19.056406250000002,3/13
0.0,30.5,13.5,53.0,45.0,210.0,1.0,4.3,2.6,19.056406250000002,3/14
0.0,29.4,14.3,51.0,45.0,220.0,2.5,5.3,2.3,22.0653125,3/15
0.0,30.1,14.0,42.0,48.0,280.0,2.5,4.0,1.6,20.059375000000003,3/16
0.0,31.0,15.1,45.0,38.0,110.0,1.0,4.8,3.0,22.0653125,3/17
0.0,31.5,16.5,40.0,40.0,145.0,2.0,4.9,2.5,19.056406250000002,3/18
0.0,32.0,16.0,42.0,42.0,95.0,1.0,4.9,4.7,15.04453125,3/19
0.0,31.0,17.2,48.0,43.0,140.0,2.5,5.3,2.7,19.056406250000002,3/20
1.1,32.6,16.8,42.0,42.0,190.0,4.5,4.8,2.6,22.0653125,3/21
0.0,30.5,16.2,41.0,40.0,114.0,2.5,5.3,2.3,19.056406250000002,3/22
0.0,29.5,15.5,43.0,41.0,120.0,1.0,5.6,3.3,17.05046875,3/23
0.0,30.0,16.5,46.0,39.0,60.0,2.5,4.9,3.2,17.05046875,3/24
0.0,30.5,16.0,57.0,33.0,210.0,3.5,3.9,2.6,18.0534375,3/25
0.2,30.0,15.0,62.0,41.0,220.0,3.5,3.7,2.1,16.0475,3/26
0.0,30.5,15.1,60.0,50.0,200.0,3.0,4.1,2.3,12.035625,3/27
2.6,32.5,15.2,64.0,52.0,190.0,4.0,3.9,3.8,20.059375000000003,3/28
2.4,31.2,15.5,66.0,54.0,185.0,6.0,2.9,3.1,18.0534375,3/29
0.0,30.1,15.5,69.0,53.0,160.0,2.0,4.2,3.2,18.8056640625,3/30
0.0,31.1,16.8,62.0,51.0,195.0,3.0,3.3,2.8,20.947499999999998,3/31
0.0,32.0,16.1,62.0,41.0,220.0,3.0,5.1,3.6,20.947499999999998,4/1
0.2,31.0,16.2,54.0,48.0,180.0,3.0,5.2,1.4,22.111250000000002,4/2
0.0,31.0,15.5,48.0,51.0,190.0,3.0,4.8,2.2,20.947499999999998,4/3
0.1,32.0,14.8,51.0,58.0,170.0,2.5,5.7,2.6,23.275000000000002,4/4
0.0,33.0,15.6,58.0,56.0,180.0,3.0,6.3,2.8,20.947499999999998,4/5
0.0,34.0,16.8,52.0,50.0,290.0,2.0,6.2,2.3,24.438750000000002,4/6
0.0,33.0,16.1,58.0,49.0,270.0,3.0,6.1,1.7,22.111250000000002,4/7
0.0,34.3,17.8,59.0,42.0,270.0,1.5,6.3,3.1,18.62,4/8
19.0,35.1,19.3,57.0,43.0,180.0,2.5,6.4,2.2,20.947499999999998,4/9
0.0,35.0,21.0,59.0,40.0,290.0,4.0,6.9,2.4,23.275000000000002,4/10
0.0,36.0,22.1,60.0,49.0,295.0,3.0,6.2,1.4,25.6025,4/11
0.0,36.0,23.1,52.0,32.0,190.0,2.0,5.3,2.3,24.438750000000002,4/12
0.0,36.0,22.1,58.0,32.0,240.0,1.0,6.1,3.1,23.275000000000002,4/13
0.0,38.0,23.3,61.0,22.0,250.0,1.5,6.2,1.6,20.947499999999998,4/14
0.0,38.1,23.3,63.0,24.0,95.0,2.0,6.3,2.3,23.275000000000002,4/15
0.0,39.5,25.6,64.0,29.0,97.0,3.0,6.2,1.2,20.947499999999998,4/16
0.0,39.8,25.4,68.0,35.0,185.0,2.0,6.1,1.6,23.275000000000002,4/17
0.0,40.1,26.5,67.0,37.0,187.0,3.0,5.8,1.3,20.947499999999998,4/18
0.0,41.1,27.1,70.0,31.0,110.0,2.0,6.7,1.2,23.275000000000002,4/19
0.0,40.2,26.3,71.0,38.0,210.0,3.0,5.9,1.8,25.6025,4/20
0.0,42.6,27.0,69.0,30.0,290.0,2.0,7.2,1.6,25.6025,4/21
0.0,37.0,29.0,25.0,20.0,225.0,1.0,10.2,9.5,25.6025,4/22
0.0,37.0,27.0,20.0,20.0,215.0,1.0,9.8,4.2,23.275000000000002,4/23
0.0,35.0,27.0,20.0,20.0,180.0,1.0,9.8,3.0,23.275000000000002,4/24
0.0,30.0,21.0,20.0,20.0,180.0,2.0,10.8,3.5,25.6025,4/25
0.0,29.0,21.0,20.0,20.0,180.0,2.0,10.8,3.5,25.6025,4/26
0.0,37.0,25.0,20.0,20.0,160.0,1.0,12.2,4.0,23.275000000000002,4/27
0.0,35.0,25.0,25.0,20.0,180.0,1.0,11.6,5.0,25.6025,4/28
0.0,39.0,25.0,30.0,25.0,115.0,2.0,10.6,3.5,21.578992248062015,4/29
0.0,38.0,27.0,30.0,20.0,200.0,1.0,10.6,3.5,22.739062500000003,4/30
0.0,38.0,28.0,20.0,20.0,215.0,3.0,14.0,5.5,22.739062500000003,5/1
0.0,40.0,28.0,20.0,20.0,90.0,3.0,8.4,2.0,20.212500000000002,5/2
0.0,33.0,25.0,30.0,20.0,135.0,3.0,8.8,3.0,20.212500000000002,5/3
0.0,31.0,30.0,30.0,20.0,90.0,4.0,8.0,1.5,25.265625000000004,5/4
0.2,34.0,29.0,30.0,20.0,225.0,4.0,7.2,3.0,25.265625000000004,5/5
0.0,35.0,25.0,25.0,20.0,180.0,2.0,9.2,2.5,25.265625000000004,5/6
0.0,34.0,23.0,35.0,20.0,225.0,2.0,10.4,2.0,25.265625000000004,5/7
0.0,35.0,25.0,30.0,25.0,135.0,2.0,12.4,1.6,25.265625000000004,5/8
0.0,34.0,26.0,25.0,20.0,180.0,2.0,9.8,2.5,17.6859375,5/9
0.0,34.0,28.0,40.0,20.0,90.0,2.0,10.8,2.0,22.739062500000003,5/10
0.1,37.0,25.0,30.0,30.0,215.0,5.0,8.0,1.5,20.212500000000002,5/11
0.0,34.0,24.0,35.0,30.0,225.0,3.0,10.0,2.5,22.739062500000003,5/12
0.0,33.0,24.0,35.0,25.0,202.0,4.0,10.0,2.5,25.265625000000004,5/13
0.0,34.0,25.0,48.0,25.0,315.0,3.0,12.8,3.0,27.7921875,5/14
0.0,35.0,28.0,36.0,25.0,45.0,2.0,9.4,3.0,27.7921875,5/15
0.0,36.0,28.0,356.0,25.0,45.0,1.0,8.0,3.0,27.7921875,5/16
0.0,36.0,30.0,35.0,20.0,45.0,1.0,9.0,3.0,27.7921875,5/17
0.0,38.0,32.0,35.0,24.0,45.0,1.0,8.8,3.0,27.7921875,5/18
0.0,38.0,32.0,35.0,25.0,45.0,1.0,9.6,7.0,27.7921875,5/19
4.8,36.0,24.0,65.0,30.0,45.0,1.0,8.8,9.0,27.7921875,5/20
0.0,36.0,30.0,45.0,25.0,45.0,1.0,8.4,4.0,27.7921875,5/21
0.0,38.0,29.0,45.0,35.0,45.0,1.0,9.0,2.0,27.7921875,5/22
0.7,35.0,25.0,60.0,35.0,45.0,1.0,7.1,5.0,10.106250000000001,5/23
0.0,38.0,28.0,55.0,35.0,45.0,1.0,5.4,1.0,25.265625000000004,5/24
0.1,33.0,23.0,55.0,35.0,90.0,8.0,7.2,1.0,27.7921875,5/25
